Plot,Rep,Column,Range,Entry,Accession,Rand,Type,Trial,Loc,Entry_no,Survival.autumn.2015,Height.2015,Basal.circumference.2015,Culm.number.2015,Fall.dormancy.date.2015,Frost.Damage.2015,Number.of.Reproductive.Culms.2015,Spring.Re.growth.Date.2016,Frost.Damage.Spring.2016,Survival.spring.2016,Overwintering.Ability.2016,Tiller.Count,Basal.Circ.during.Tiller.Count,First.Heading.Date.2016,X50..Heading.Date.2016,First.Flowering.Date.2016,X50..Flowering.Date.2016,Survival.autumn.2016,Growth.Stage.2016,Compressed.Plant.Circumference.2016,Basal.Circumference.2016,Total.Culm.2016,Repro.Culm.2016,Autumn.Dormancy.Date.2016,Frost.Damage.Autumn.2016,Lodging.2016,Culm.Length.2016,Culm.Outer.Diameter.at.the.Basal.Internode.2016,Culm.Outer.Diameter.at.Last.internode.2016,Culm.Node.Number.2016,Culm.Dry.Weight.2016,Secondary.Stem.Count.2016,Total.Weight.of.Secondary.Stems.2016,Primary.Stem.Weight.2016,Culm.Density.2016,Average.Internode.Length.2016,Biomass.Yield.fresh.weight.2016,Sub.sample.Yield.fresh.weight.2016,Sub.sample.Yield.dry.weight.2016,Moisture.content.2016,Biomass.Yield.dry.weight.2016,Spring.Re.growth.Date.2017,Frost.Damage.Spring.2017,Survival.spring.2017,Overwintering.Ability.2017,First.Heading.Date.2017,X50..Heading.Date.2017,First.Flowering.Date.2017,X50..Flowering.Date.2017,Survival.autumn.2017,Growth.Stage.2017,Compressed.Plant.Circumference.2017,Basal.Circumference.2017,Total.Culm.2017,Repro.Culm.2017,Autumn.Dormancy.Date.2017,Frost.Damage.Autumn.2017,Lodging.2017,CCirc.BCirc.2017,TCmN.Area.2017,Plant.Height.2017,Culm.Length.2017,Culm.Outer.Diameter.at.the.Basal.Internode.2017,Culm.Outer.Diameter.at.Last.internode.2017,Culm.Node.Number.2017,Culm.Dry.Weight.2017,Culm.Density..mass.volume..2017..CmDW.V.,Average.Internode.Length.2017,Biomass.Yield.fresh.weight.2017,Sub.sample.Yield.fresh.weight.2017,Sub.sample.Yield.dry.weight.2017,Moisture.content.2017,Biomass.Yield.dry.weight.2017,Prop.repro.culm.2015,Prop.repro.culm.2016,Prop.repro.culm.2017
11,1,1,AK,RU2012-045,RU2012-045,0.027145442,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,22,1,NA,NA,3,NA,NA,NA,5/29/2016,1,1,1,NA,NA,7/29/2016,8/5/2016,8/5/2016,8/11/2016,1,PF,NA,NA,10,4,NA,NA,1,91.5,4.71,4.67,11,14.53,NA,NA,NA,NA,8.32,160,140,98.5,70.35714286,112.57,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
12,1,1,AL,JM2014-H-51,JM2014-H-51,0.028778379,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,269,1,112,21,9,NA,10,NA,5/29/2016,1,1,1,NA,NA,9/2/2016,9/8/2016,9/9/2016,9/16/2016,1,PF,NA,NA,25,9,10/8/2016,10,1,165,4.7,2.5,18,15.37,NA,NA,NA,NA,9.17,560,150,116.9,77.93333333,436.43,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA
13,1,1,AM,RU2012-092,RU2012-092,0.028797469,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,65,1,NA,NA,3,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,1,AN,KMS399,KMS399,0.029216925,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,441,1,78,49,10,NA,10,NA,5/15/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,F,NA,NA,55,14,10/8/2016,10,1,153,3.46,1.37,11,3.66,NA,NA,NA,NA,13.91,480,130,117.8,90.61538462,434.95,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254545455,NA
15,1,1,AO,JM2014-H-58,JM2014-H-58,0.0300823,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,276,1,119,10,10,NA,10,NA,5/29/2016,1,1,1,NA,NA,9/2/2016,9/9/2016,9/9/2016,9/16/2016,1,PF,NA,NA,43,8,10/15/2016,0,1,164,4.84,3.58,13,17.14,NA,NA,NA,NA,12.62,1560,230,127.9,55.60869565,867.5,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186046512,NA
16,1,1,AP,JPN-2011-020,JPN-2011-020,0.031788491,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,216,1,113,13,10,NA,8,NA,5/29/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,NA,1,F,NA,NA,22,17,NA,10,1,187,8.59,7.55,20,61.94,NA,NA,NA,NA,9.35,2160,350,238,68,1468.8,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.772727273,NA
17,1,1,AQ,JM2014-M-6,JM2014-M-6,0.032016091,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,335,1,111,30,22,NA,9,NA,5/29/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,H,NA,NA,55,1,NA,10,1,235,9.51,3.76,23,65.91,NA,NA,NA,NA,10.22,70,25,12.6,50.4,35.28,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018181818,NA
18,1,2,AA,KMS291,KMS291,0.035047416,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,361,1,57,8,6,NA,10,NA,5/15/2016,1,1,1,NA,NA,10/28/2016,NA,NA,NA,1,F,NA,NA,24,21,NA,10,1,63,4.77,2.36,18,14.55,NA,NA,NA,NA,3.5,510,60,50.1,83.5,425.85,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875,NA
19,1,2,AB,JY191,JY191,0.038116244,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,712,1,103,27,30,NA,10,9,5/15/2016,1,1,1,NA,NA,9/9/2016,9/23/2016,9/16/2016,9/30/2016,1,PF,NA,NA,143,18,10/8/2016,10,1,134,3.52,2.21,15,8.56,NA,NA,NA,NA,8.93,290,97.8,80,81.799591,237.22,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.125874126,NA
20,1,2,AC,KMS466,KMS466,0.039545752,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,508,1,55,6,5,NA,10,NA,5/15/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,F,NA,NA,49,40,NA,10,1,159,5.51,2.15,12,9.68,NA,NA,NA,NA,13.25,1800,170,147.8,86.94117647,1564.94,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816326531,NA
21,1,2,AD,KMS405,KMS405,0.041075209,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,447,1,103,22,8,NA,10,1,5/15/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,F,NA,NA,53,9,NA,10,1,211,4.29,2.44,19,17.61,NA,NA,NA,NA,11.11,250,70,64.4,92,230,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.169811321,NA
22,1,2,AE,KMS459,KMS459,0.041772433,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,501,1,92,12,3,NA,10,NA,5/15/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,F,NA,NA,42,15,NA,10,1,141,4.25,2.13,16,7.2,NA,NA,NA,NA,8.81,3480,290,192.9,66.51724138,2314.8,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357142857,NA
23,1,2,AF,UI11-00037,UI11-00037,0.042615169,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,181,1,84,37,22,NA,9,1,5/15/2016,1,1,1,NA,NA,10/28/2016,10/28/2016,NA,NA,1,H,NA,NA,82,8,10/29/2016,9,1,221,9.73,4.05,22,42.02,NA,NA,NA,NA,10.05,200,130.6,129.1,98.85145482,197.7,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045454545,0.097560976,NA
24,1,2,AG,KMS423,KMS423,0.043406528,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,465,1,33,17,5,NA,NA,NA,5/15/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,NA,1,F,NA,NA,18,12,NA,9,1,134,5.04,2.93,19,15.81,NA,NA,NA,NA,7.05,200,180,130,72.22222222,144.44,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666667,NA
25,1,2,AH,JY051,JY051,0.043408574,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,571,1,NA,NA,3,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,2,AI,RU2012-038,RU2012-038,0.043724019,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,17,1,75,15,5,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,2,AJ,JM2014-H-64,JM2014-H-64,0.047786666,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,282,1,55,12,8,NA,10,NA,5/15/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,F,NA,NA,34,33,10/8/2016,10,1,140,5.46,2.44,16,11.47,NA,NA,NA,NA,8.75,355,181,163.7,90.44198895,321.07,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.970588235,NA
28,1,2,AK,KMS451,KMS451,0.048204301,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,493,1,84,NA,3,NA,8,NA,5/15/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,F,NA,NA,44,34,NA,9,1,189.5,6.05,2.61,13,13.78,NA,NA,NA,NA,14.58,1010,128.9,120,93.09542281,940.26,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.772727273,NA
29,1,2,AL,M. sacchariflorus 'Bluemel'-UI10-00117,UI10-00117,0.051630587,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,169,1,84,22,40,NA,9,NA,5/15/2016,1,1,1,NA,NA,NA,NA,NA,NA,1,NR,NA,NA,112,0,10/29/2016,8,NA,172.5,6.55,1.63,17,19.43,NA,NA,NA,NA,10.15,2740,270,187,69.25925926,1897.7,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
30,1,2,AM,JY330,JY330,0.053735716,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,848,1,NA,NA,3,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,2,AN,RU2012-169,RU2012-169,0.058585556,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,129,1,136,4,16,NA,10,11,5/15/2016,1,1,1,NA,NA,7/29/2016,8/5/2016,8/5/2016,8/11/2016,1,PF,NA,NA,35,20,10/1/2016,NA,1,166.5,5.03,2.88,15,9.66,NA,NA,NA,NA,11.1,220,80.7,70,86.74101611,190.83,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6875,0.571428571,NA
32,1,2,AO,JY129,JY129,0.061461708,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,650,1,121,21,37,NA,9,NA,5/15/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,F,NA,NA,107,38,10/29/2016,10,1,225,9.05,2.91,24,75.13,NA,NA,NA,NA,9.38,2330,230,106.7,46.39130435,1080.92,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355140187,NA
33,1,2,AP,PMS-076,PMS-076,0.061709713,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,515,1,104,10,8,NA,0,7,5/15/2016,1,1,1,NA,NA,9/23/2016,9/30/2016,9/30/2016,10/7/2016,1,H,NA,NA,47,3,10/29/2016,10,1,141,5,1.9,20,19.9,NA,NA,NA,NA,7.05,460,210,79.2,37.71428571,173.49,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875,0.063829787,NA
34,1,2,AQ,KMS435,KMS435,0.062209121,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,477,1,87,28,34,NA,9,1,5/15/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,F,NA,NA,133,76,10/15/2016,7,1,211,5.75,3.47,18,23.65,NA,NA,NA,NA,11.72,2930,160,90,56.25,1648.13,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029411765,0.571428571,NA
35,1,3,AA,JPN-2010-007,JPN-2010-007,0.064997543,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,190,1,102,12,11,NA,10,5,5/15/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,H,NA,NA,13,4,NA,10,1,122,4.4,4.1,17,18.3,NA,NA,NA,NA,7.18,130,70,58,82.85714286,107.71,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454545455,0.307692308,NA
36,1,3,AB,KMS352,KMS352,0.065524497,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,394,1,120,16,21,NA,9,11,5/15/2016,1,1,1,NA,NA,8/19/2016,8/26/2016,8/26/2016,9/2/2016,1,PF,NA,NA,97,19,10/15/2016,10,1,158,6.7,3.1,17,46.3,NA,NA,NA,NA,9.29,570,190,103,54.21052632,309,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523809524,0.195876289,NA
37,1,3,AC,RU2012-131,RU2012-131,0.067375764,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,98,1,93,8,5,NA,10,2,5/15/2016,1,1,1,NA,NA,7/29/2016,8/5/2016,8/5/2016,8/11/2016,1,PF,NA,NA,7,7,10/1/2016,NA,1,151.2,4.5,1.2,13,9.85,NA,NA,NA,NA,11.63,85.2,45.2,43.5,96.23893805,82,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1,NA
38,1,3,AD,RU2012-207,RU2012-207,0.06866681,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,159,1,124,3,3,NA,10,1,5/15/2016,1,1,1,NA,NA,8/5/2016,8/12/2016,8/12/2016,8/19/2016,1,PF,NA,NA,17,13,10/8/2016,10,1,146,3.88,2.33,11,7.82,NA,NA,NA,NA,13.27,120,100,20.2,20.2,24.24,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333,0.764705882,NA
39,1,3,AE,M. sacchariflorus 'Golf Course 4x'-UI11-00007,UI11-00007,0.073215342,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,173,1,140,6,5,NA,10,2,5/15/2016,1,1,1,NA,NA,8/5/2016,8/12/2016,8/12/2016,8/19/2016,1,PF,NA,NA,21,7,NA,NA,1,175,4.67,1.78,17,10.93,NA,NA,NA,NA,10.29,160,60,47,78.33333333,125.33,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.333333333,NA
