Entry,Entry #,Sample_name,Notes
M. sinensis  'Zwergzebra',84,UI10-00104-Zwergzebra,
M. sinensis var. condensatus  'US64-0007-01',85,PI294605-US64-0007-01,
M. sinensis var. condensatus 'Cabaret',86,UI10-00012-Cabaret,
M. sinensis var. condensatus 'Cosmopolitan',87,UI10-00015-Cosmopolitan,
M. sinensis var. condensatus--UI10-00017,88,UI10-00017-condensatus,
M. sinensis var. purpurascens,89,UI10-00019-purpurascens,
M. sp  'M75-062',90,PI423566-M75-062,
M. sp  'US64-0016-03',91,PI302423-US64-0016-03,
M. transmorrisonensis,92,UI10-00106-transmorrisonensis,
M. transmorrisonensis  'Arnin's Weeping',93,UI10-00105-Arnins-Weeping,
Miscanthus sinensis  'Malepartus',94,UI12-00002-Malepartus,
Miscanthus sinensis  'Zwergelefant',95,UI12-00001-Zwergelefant,
NC-2010-001 B,96,NC-2010-001-B,
NC-2010-001.5 C,97,NC-2010-001-5-C,
NC-2010-001.5-B(18)-a,98,NC-2010-001-5-B18-a,
NC-2010-001.5-B(18)-b,99,NC-2010-001-5-B18-b,
NC-2010-001-009,100,NC-2010-001-009,
NC-2010-001-010,101,NC-2010-001-010,
NC-2010-001-B(44)-e,102,NC-2010-001-B44-e,
NC-2010-002-001,103,NC-2010-002-001,
NC-2010-002-002,104,NC-2010-002-002,
NC-2010-003 D,105,NC-2010-003-D,
NC-2010-003 E,106,NC-2010-003-E,
NC-2010-003-001,107,NC-2010-003-001,
NC-2010-003-B(50)-a,108,NC-2010-003-B50-a,
NC-2010-003-B(50)-b,109,NC-2010-003-B50-b,
NC-2010-004 E,110,NC-2010-004-E,
NC-2010-004-B(37)-b,111,NC-2010-004-B37-b,
NC-2010-004-B(37)-d,112,NC-2010-004-B37-d,
OH-2009-001-B(20)-b,113,OH-2009-001-B20-b,
OH-2009-001-B(20)-d,114,OH-2009-001-B20-d,
PA-2010-001-005,115,PA-2010-001-005,
PA-2010-001-B(63)-a,116,PA-2010-001-B63-a,
PA-2010-001-B(63)-c,117,PA-2010-001-B63-c,
PA-2010-002 E,118,PA-2010-002-E,
PA-2010-002-004,119,PA-2010-002-004,
PA-2010-002-013,120,PA-2010-002-013,
PA-2010-002-015,121,PA-2010-002-015,
PA-2010-002-B(3)-b,122,PA-2010-002-B3-b,
PA-2010-002-B(3)-d,123,PA-2010-002-B3-d,
PA-2010-003-B(20)-b,124,PA-2010-003-B20-b,
PA-2010-003-B(20)-c,125,PA-2010-003-B20-c,
PMS-005,554,PMS-005,
PMS-007,342,PMS-007,
PMS-008,343,PMS-008,
PMS-009,126,PMS-009,
PMS-014,127,PMS-014,
PMS-018,578,PMS-018,
PMS-038,128,PMS-038,
PMS-044,520,PMS-044,
PMS-047,320,PMS-047,
PMS-049,450,PMS-049,
PMS-053,618,PMS-053,
PMS-054,555,PMS-054,
PMS-055,521,PMS-055,
PMS-058,422,PMS-058,
PMS-071,579,PMS-071,
PMS-074,221,PMS-074,
PMS-075,129,PMS-075-Msa,
PMS-076,260,PMS-076-Msa,
PMS-077,423,PMS-077-Msa,
PMS-080,619,PMS-080,
PMS-081,492,PMS-081,
PMS-086,580,PMS-086,
PMS-087,581,PMS-087,
PMS-089,292,PMS-089,
PMS-093,522,PMS-093,
PMS-094,451,PMS-094,
PMS-101,424,PMS-101,
PMS-102,465,PMS-102,
PMS-107,523,PMS-107,
PMS-108,620,PMS-108,
PMS-110,524,PMS-110,
PMS-111,321,PMS-111,
PMS-115,493,PMS-115,
PMS-116,582,PMS-116,
PMS-117,452,PMS-117,
PMS-118,525,PMS-118,
PMS-120,425,PMS-120,
PMS-121,583,PMS-121,
PMS-122,466,PMS-122,
PMS-124,526,PMS-124,
PMS-125,170,PMS-125,
PMS-127,584,PMS-127,
PMS-129,167,PMS-129,
PMS-130,453,PMS-130,
PMS-131,426,PMS-131,
PMS-133,391,PMS-133,
PMS-134,130,PMS-134,
PMS-136,556,PMS-136,
PMS-140,585,PMS-140,
PMS-144,131,PMS-144,
PMS-151,586,PMS-151,
PMS-156,621,PMS-156,
PMS-159,132,PMS-159,
PMS-161,622,PMS-161,
PMS-162,176,PMS-162,
PMS-163,322,PMS-163,
PMS-164,427,PMS-164,
PMS-165,587,PMS-165,
PMS-167,588,PMS-167,
PMS-169,467,PMS-169,
PMS-170,589,PMS-170,
PMS-171,369,PMS-171,
PMS-172,527,PMS-172,
PMS-174,625,PMS-174,
PMS-176,428,PMS-176,
PMS-178,133,PMS-178,
PMS-180,590,PMS-180,
PMS-182,591,PMS-182,
PMS-183,134,PMS-183,
PMS-184,592,PMS-184,
PMS-189,593,PMS-189,
PMS-194,528,PMS-194,
PMS-204,429,PMS-204,
PMS-211,594,PMS-211,
PMS-212,529,PMS-212,
PMS-213,244,PMS-213,
PMS-218,530,PMS-218,
PMS-223,323,PMS-223,
PMS-224,392,PMS-224,
PMS-231,393,PMS-231,
PMS-232,531,PMS-232,
PMS-235,595,PMS-235,
PMS-257,596,PMS-257,
PMS-259,184,PMS-259,
PMS-270,494,PMS-270,
PMS-272,135,PMS-272,
PMS-273,394,PMS-273,
PMS-279,344,PMS-279,
PMS-284,345,PMS-284,
PMS-285,136,PMS-285,
PMS-288,597,PMS-288,
PMS-293,137,PMS-293,
PMS-296,370,PMS-296,
PMS-300,245,PMS-300,
PMS-303,623,PMS-303,
PMS-304,346,PMS-304,
PMS-306,138,PMS-306,
PMS-308,430,PMS-308,
PMS-311,468,PMS-311,
PMS-314,139,PMS-314,
PMS-317,532,PMS-317,
PMS-318,324,PMS-318,
PMS-321,395,PMS-321,
PMS-322,495,PMS-322,
PMS-323,371,PMS-323,
PMS-327,598,PMS-327,
PMS-329,599,PMS-329,
PMS-330,557,PMS-330,
PMS-331,469,PMS-331,
PMS-332,470,PMS-332,
PMS-333,600,PMS-333,
PMS-335,454,PMS-335,
PMS-336,471,PMS-336,
PMS-337,325,PMS-337,
PMS-338,396,PMS-338,
PMS-339,140,PMS-339,
PMS-340,472,PMS-340,
PMS-341,601,PMS-341,
PMS-342,300,PMS-342,
PMS-343,372,PMS-343,
PMS-345,347,PMS-345,
PMS-347,141,PMS-347,
PMS-349,558,PMS-349,
PMS-350,348,PMS-350,
PMS-352,496,PMS-352,
PMS-353,326,PMS-353,
PMS-354,397,PMS-354,
PMS-359,473,PMS-359,
PMS-364,602,PMS-364a,
PMS-368,559,PMS-368,
PMS-371,603,PMS-371,
PMS-372,455,PMS-372,
PMS-375,604,PMS-375,
PMS-379,349,NA,not genotyped
PMS-381,624,PMS-381,
PMS-384,431,PMS-384,
PMS-389,605,PMS-389,
PMS-392,560,PMS-392,
PMS-396,561,PMS-396,
PMS-397,142,PMS-397,
PMS-398,497,PMS-398,
PMS-399,562,PMS-399,
PMS-400,533,PMS-400,
PMS-403,398,PMS-403,
PMS-404,474,PMS-404,
PMS-405,563,PMS-405,
PMS-406,564,PMS-406,
PMS-407,565,PMS-407,
PMS-409,606,PMS-409,
PMS-410,607,PMS-410,
PMS-411,534,PMS-411,
PMS-412,535,PMS-412,
PMS-413,498,PMS-413,
PMS-414,566,PMS-414,
PMS-416,399,PMS-416,
PMS-418,475,PMS-418,
PMS-424,400,PMS-424,
PMS-425,476,PMS-425,
PMS-427,567,PMS-427,
PMS-430,312,PMS-430,
PMS-433,499,PMS-433,
PMS-436,373,PMS-436,
PMS-438,536,PMS-438,
PMS-444,537,PMS-444,
PMS-445,608,PMS-445,
PMS-447,500,PMS-447,
PMS-458,350,PMS-458-Msa,
PMS-459,171,PMS-459,
PMS-460,432,PMS-460,
PMS-464,401,PMS-464,
PMS-466,538,PMS-466,
PMS-467,185,PMS-467-8,
PMS-468,161,PMS-467-8,
PMS-474,293,PMS-474,
PMS-475,477,PMS-475,
PMS-496,501,PMS-496,
PMS-504,351,PMS-504-Msa,
PMS-510,222,PMS-510,
PMS-511,478,PMS-511,
PMS-512,479,PMS-512-Msa,
PMS-521,433,PMS-521,
PMS-526,301,PMS-526,
PMS-533,568,PMS-533,
PMS-535,609,PMS-535,
PMS-541,610,PMS-541,
PMS-543,502,PMS-543,
PMS-544,294,PMS-544,
PMS-546,374,PMS-546,
PMS-555,480,PMS-555,
PMS-557,539,PMS-557,
PMS-558,481,PMS-558,
PMS-571,456,PMS-571,
PMS-574,540,PMS-574,
PMS-576,482,PMS-576,
PMS-586,352,PMS-586,
PMS-589,503,PMS-589,
PMS-601,402,PMS-601,
PMS-602,541,PMS-602,
PMS-605,434,PMS-605,
PMS-606,483,PMS-606,
PMS-607,611,PMS-607,
PMS-610,403,PMS-610,
PMS-614,542,PMS-614,
VA-2010-001-022,143,VA-2010-001-022,
VA-2010-001-B(40)-e,144,VA-2010-001-B40-e,
,,IGR-2011-001,
,,p196-150A-c,
,,p877-348-b,
